original_index,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,ai_likelihood
220536,4,Not as it said,"It’s cable is only 9 ft long not 10 ft at all, but the price is fair so I’m just not going to bothered with returning it.",[],B0BL7231NQ,B0C36YXYCJ,AGNDPXMTHNTGR2SKL473FL4VRURA,2023-04-20 02:14:42.308,0,True,"{""success"":true,""code"":200,""message"":""Detection complete"",""data"":{""sentences"":[],""isHuman"":100,""additional_feedback"":""Please input more text for a more accurate result"",""h"":[],""hi"":[],""textWords"":27,""aiWords"":0,""fakePercentage"":0.0,""specialIndexes"":[],""specialSentences"":[],""originalParagraph"":""2025/2/10/e43989cf-afee-42cd-9347-b4b20110d889"",""feedback"":""Your Text is Human Written"",""input_text"":""It’s cable is only 9 ft long not 10 ft at all, but the price is fair so I’m just not going to bothered with returning it."",""id"":18286500}}"
38798,5,Pencil holder with holder for small pictures,This is cute it will hold pictures from the small camera and hold desk utensils too. This is really cute. Great gift for teacher or anyone with desk to hold there pens and pencils with pictures of loved ones..,[],B0B94J7ZM7,B0BXWF9CWC,AEJE3IIDZTTU3P36LWRHKGROEVIA,2023-03-10 04:27:28.337,0,False,"{""success"":true,""code"":200,""message"":""Detection complete"",""data"":{""sentences"":[],""isHuman"":100,""additional_feedback"":""Please input more text for a more accurate result"",""h"":[],""hi"":[],""textWords"":39,""aiWords"":0,""fakePercentage"":0.0,""specialIndexes"":[],""specialSentences"":[],""originalParagraph"":""2025/2/10/fa9e0ad6-dff6-4773-aaf7-732e70430557"",""feedback"":""Your Text is Human Written"",""input_text"":""This is cute it will hold pictures from the small camera and hold desk utensils too. This is really cute. Great gift for teacher or anyone with desk to hold there pens and pencils with pictures of loved ones.."",""id"":18286502}}"
620929,1,Too big lights,Flashing lights are bothering.,[],B09K3S9VRL,B09K3S9VRL,AH5LUQNFXOQWWPSIZLFCAWSG5WBA,2023-03-22 20:06:33.730,0,True,"{""success"":true,""code"":200,""message"":""Detection complete"",""data"":{""sentences"":[],""isHuman"":100,""additional_feedback"":""Please input more text for a more accurate result"",""h"":[],""hi"":[],""textWords"":4,""aiWords"":0,""fakePercentage"":0.0,""specialIndexes"":[],""specialSentences"":[],""originalParagraph"":""2025/2/10/c3c54160-82b3-46d8-9c73-56e223de3d6c"",""feedback"":""Your Text is Human Written"",""input_text"":""Flashing lights are bothering."",""id"":18286503}}"
75852,5,Works as expected,There were 5 of these in the package. The one I used worked perfectly. 14 volts in set to 12 volts out. I tested it up to 25 volts in and 12.2 volts out. Pretty good in my book.,[],B08Q2YKJ6Q,B0BS3JTT1R,AH4G6UXS2UOEBM26EEGMTGAN52XA,2023-02-19 14:24:12.596,1,True,"{""success"":true,""code"":200,""message"":""Detection complete"",""data"":{""sentences"":[],""isHuman"":100,""additional_feedback"":""Please input more text for a more accurate result"",""h"":[],""hi"":[],""textWords"":38,""aiWords"":0,""fakePercentage"":0.0,""specialIndexes"":[],""specialSentences"":[],""originalParagraph"":""2025/2/10/c810b8d8-939e-46d8-8b11-b1508f92fdfd"",""feedback"":""Your Text is Human Written"",""input_text"":""There were 5 of these in the package. The one I used worked perfectly. 14 volts in set to 12 volts out. I tested it up to 25 volts in and 12.2 volts out. Pretty good in my book."",""id"":18286504}}"
923374,4,Great,Transfer speed from pc to tablet is good comes with 477gb I got it on sale so I’m happy with my new sd card for my Samsung tablet,[],B0B7NVXLLM,B0BRZPCQNJ,AEUC6DY2L4BDYSR3AYZDINB6D4HA,2023-02-04 16:05:06.907,0,True,"{""success"":true,""code"":200,""message"":""Detection complete"",""data"":{""sentences"":[],""isHuman"":100,""additional_feedback"":""Please input more text for a more accurate result"",""h"":[],""hi"":[],""textWords"":28,""aiWords"":0,""fakePercentage"":0.0,""specialIndexes"":[],""specialSentences"":[],""originalParagraph"":""2025/2/10/f4d5e172-77c1-40fa-b13d-f0078762b1f4"",""feedback"":""Your Text is Human Written"",""input_text"":""Transfer speed from pc to tablet is good comes with 477gb I got it on sale so I’m happy with my new sd card for my Samsung tablet"",""id"":18286505}}"
487160,5,Trabajan perfecto,Trabaja súper bien y no es difícil de conectar.,[],B094VWJQ15,B094VWJQ15,AES3BHGBGCEG3V42DNNW2WQ55JZQ,2023-03-22 03:20:43.358,0,True,"{""success"":true,""code"":200,""message"":""Detection complete"",""data"":{""sentences"":[],""isHuman"":100,""additional_feedback"":""Please input more text for a more accurate result"",""h"":[],""hi"":[],""textWords"":9,""aiWords"":0,""fakePercentage"":0.0,""specialIndexes"":[],""specialSentences"":[],""originalParagraph"":""2025/2/10/eb49c412-31d7-48c7-8f6a-9851b78bc1d0"",""feedback"":""Your Text is Human Written"",""input_text"":""Trabaja súper bien y no es difícil de conectar."",""id"":18286506}}"
278283,1,Slots didn't work!,Not a useable product.  I couldn't return it because I'd discarded the original packaging.,[],B0B316W184,B0B9WN2WDC,AGIQ4EC7WG2SWQKYQ3FIQUA5IX2Q,2023-02-20 20:27:59.097,0,True,"{""success"":true,""code"":200,""message"":""Detection complete"",""data"":{""sentences"":[],""isHuman"":100,""additional_feedback"":""Please input more text for a more accurate result"",""h"":[],""hi"":[],""textWords"":14,""aiWords"":0,""fakePercentage"":0.0,""specialIndexes"":[],""specialSentences"":[],""originalParagraph"":""2025/2/10/ceb23590-8052-47bd-a80d-6dad9d51d420"",""feedback"":""Your Text is Human Written"",""input_text"":""Not a useable product.  I couldn't return it because I'd discarded the original packaging."",""id"":18286507}}"
730814,4,HAOMAOMAO NECK FANS,Received my 2 neck fans but the chargers do not fit please advise,[],B07SPDM4PN,B095HR18K8,AEVGJGY4METSCS2XZO5H62FVM7JQ,2023-02-11 17:06:11.923,2,True,"{""success"":true,""code"":200,""message"":""Detection complete"",""data"":{""sentences"":[],""isHuman"":100,""additional_feedback"":""Please input more text for a more accurate result"",""h"":[],""hi"":[],""textWords"":13,""aiWords"":0,""fakePercentage"":0.0,""specialIndexes"":[],""specialSentences"":[],""originalParagraph"":""2025/2/10/ab69f278-ac82-46d7-8191-00b8d8e84142"",""feedback"":""Your Text is Human Written"",""input_text"":""Received my 2 neck fans but the chargers do not fit please advise"",""id"":18286508}}"
217403,1,Remote,Does not work,[],B07CLD4GF2,B07CLD4GF2,AGIJAE42QEC6Z7MFRUQXQWIWGZDA,2023-04-29 16:32:19.139,0,True,"{""success"":true,""code"":200,""message"":""Detection complete"",""data"":{""sentences"":[],""isHuman"":100,""additional_feedback"":""Please input more text for a more accurate result"",""h"":[],""hi"":[],""textWords"":3,""aiWords"":0,""fakePercentage"":0.0,""specialIndexes"":[],""specialSentences"":[],""originalParagraph"":""2025/2/10/e667163a-f782-4606-81d0-5867cf4c8097"",""feedback"":""Your Text is Human Written"",""input_text"":""Does not work"",""id"":18286509}}"
806554,5,"A basic, but fun little mouse that is absolutely worth it","How much should a computer mouse cost? If I was asked this question a week ago, I'd probably estimate about $10-$15 for a basic mouse, and I could even imagine $20-$30 (or even more) for a super fancy, 20-button, ergonomic, ultra-responsive space mouse. At the time of this review, this mouse is $5. That price would be understandable if this was one of those old school non-optical, trackball mice (with the ball at the bottom). But this mouse is sleek...it's rechargeable (via included micro-USB...though I would prefer if it was the more popular USB-C)...it can be connected with Bluetooth or USB receiver (I've tried both, and they are responsive and without issues, so far)...it changes LED colors...and it's silent. Admittedly, this is not a particularly high-end mouse. For example, there is no forward-back option, there are no programming buttons, it's not shaped with the ergonomic curves, and the scroll wheel is not textured (which I prefer over a smooth one). This mouse is an attractive matte color, it is very portable/low-height, it has 3 DPI levels (nothing too sensitive, but more than adequate for my needs), and both the left and right click buttons are fairly quiet. Functionally, it glides smoothly on my Roccat mousepad, and I have had no issues with connectivity yet. In all honesty, despite the shortcomings, I really appreciate this mouse, and for the price, it is an absolute bargain.","[{'small_image_url': 'https://m.media-amazon.com/images/I/71n2YJ9YI8L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71n2YJ9YI8L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71n2YJ9YI8L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71rJv8pkSTL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71rJv8pkSTL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71rJv8pkSTL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B0BVM83MFF,B0C96F9MWJ,AGSIU3JOYC6CJLFFB7APDN3UGSHQ,2023-03-09 06:27:17.509,0,False,"{""success"":true,""code"":200,""message"":""Detection complete"",""data"":{""sentences"":[],""isHuman"":100,""additional_feedback"":"""",""h"":[],""hi"":[],""textWords"":234,""aiWords"":0,""fakePercentage"":0.0,""specialIndexes"":[],""specialSentences"":[],""originalParagraph"":""2025/2/10/255754fc-c287-4a6f-ba37-27582444f0d9"",""feedback"":""Your Text is Human Written"",""input_text"":""How much should a computer mouse cost? If I was asked this question a week ago, I'd probably estimate about $10-$15 for a basic mouse, and I could even imagine $20-$30 (or even more) for a super fancy, 20-button, ergonomic, ultra-responsive space mouse. At the time of this review, this mouse is $5. That price would be understandable if this was one of those old school non-optical, trackball mice (with the ball at the bottom). But this mouse is sleek...it's rechargeable (via included micro-USB...though I would prefer if it was the more popular USB-C)...it can be connected with Bluetooth or USB receiver (I've tried both, and they are responsive and without issues, so far)...it changes LED colors...and it's silent. Admittedly, this is not a particularly high-end mouse. For example, there is no forward-back option, there are no programming buttons, it's not shaped with the ergonomic curves, and the scroll wheel is not textured (which I prefer over a smooth one). This mouse is an attractive matte color, it is very portable/low-height, it has 3 DPI levels (nothing too sensitive, but more than adequate for my needs), and both the left and right click buttons are fairly quiet. Functionally, it glides smoothly on my Roccat mousepad, and I have had no issues with connectivity yet. In all honesty, despite the shortcomings, I really appreciate this mouse, and for the price, it is an absolute bargain."",""id"":18286510}}"
