original_index,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,token_count
768733,5,"A little finicky, but it works! One PC (RTX 4090) to two TVs @ 4k 120 Hz HDR/VRR","I'm using this splitter to have my gaming PC drive two displays - a 50"" Samsung QN90B in the bedroom, and a 75"" Samsung Q90T in the living room. I want to be able to move between rooms without changing connections on my GPU or fiddling around with Windows 11 multi-monitor annoyances.<br /><br />4 stars instead of 5 because it was fiddly to get working and it's a fairly expensive piece of kit. That may be the fault of HDMI tech in general, but I still didn't expect to spend an afternoon troubleshooting this for the money. Had to fully power down everything and try different boot sequences between the TVs / PC / Splitter, as well as different points in the sequence to switch the TVs into ""game mode"", before I managed to get both TVs to accept a 4k120 Hz HDR/VRR signal, but I eventually got it working.<br /><br />In case it's ever of use to anyone else, my setup worked with the following order:<br />Use the less capable TV (the Q90T) as ""OUT1"", the more capable TV (the QN90B) as ""OUT2"", with EDID set to ""Copy"" and OUT2 output at 4k<br />Shut everything down<br />Power the splitter<br />Power the two TVs, any order<br />Power the PC<br />Wait for signal on the Q90T (OUT1), switch it to ""Game Mode"" once there is signal and confirm 4k120 HDR/VRR<br />If no signal on QN90B (OUT2), manually toggle ""Game Mode"" setting to get signal. If this fails, go back to step 1 and repeat until success (I never had to attempt more than twice).<br /><br />Only other downside is that I can't make use of the 144 Hz refresh rate on my Samsung QN90B, but I'm OK with that; the difference between 120 HZ and 144 Hz is minor, and I didn't expect to be able to run two displays at different refresh rates off a splitter.<br /><br />--EDIT - Now 5 Stars!--<br />I contacted support, and they promptly provided updated firmware which resolved all my issues getting both TVs to accept signal. I now have 4k 120 Hz VRR/HDR on both screens with zero hassles from this adapter. Great stuff!",[],B0B5ZQK9BZ,B0B5ZQK9BZ,AETH2D76KIEXTOSL4RO5AHSYWRAA,2023-02-14 20:54:09.586,2,True,512
578781,5,A very good camera on the price-performance scale,"Ok, I have to admit I’m getting to be a fan of SV3C.  This is the third camera I have purchased from them for various rental properties, and this PTZ security camera is spot-on when it comes to performance vs. cost.<br /><br />Right out of the box the installation process was a breeze. The camera comes with everything you need to get it set up, including mounting hardware and power cable/adaptor – you just supply the ladder.  I had it connected to my WiFi network in minutes, so it went from box to live feed on my phone in less than an hour.<br /><br />The PTZ (pan, tilt, zoom) functionality on this camera is top notch. It lets me easily control the camera from my phone and move it around to get a better view of the area being monitored.  This camera is being used in the back of a rental property looking out for wildlife, specifically coyotes, and kids using ATV’s and motorcycles in my fields. With the PTZ feature, I can easily move the camera around to get a better view of the surrounding area, and with the cloud feature and motion detection, I can review film over the course of the day to find out in anyone is trespassing on my land.  Best of all, the camera can be set to follow an object as it moves across the field of view, set off an alarm, and/or turn on a light.<br /><br />The image quality of the camera is also excellent, especially the smart full-color night vision (when motion is detected). It has 5 megapixel HD resolution, which means the video footage is crystal clear even when digitally zoomed in. The camera rotates 355 degrees, which allows it to capture an entire six acres from one vantage point on my barn. In terms of durability, the camera seems to be very well-made. It already had its first battle against the weather – almost 3” of rain – and came out without fogging up or other issues.  This is critical for Massachusetts as we can get some rather extreme weather at times.<br /><br />Overall, I’m extremely happy with this latest PTZ security camera from SV3C. It is a high-quality product that’s easy to install and use, and it provides excellent image quality and coverage. I would definitely recommend it to anyone in need of a reliable security camera at an affordable price.","[{'small_image_url': 'https://m.media-amazon.com/images/I/61DOjKIV-YL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61DOjKIV-YL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61DOjKIV-YL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61lbrp6Nl0L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61lbrp6Nl0L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61lbrp6Nl0L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61qaLHTNUYL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61qaLHTNUYL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61qaLHTNUYL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B0BGHWFMNZ,B0BGHWFMNZ,AG5IPWIIC4KCRZ6DWNPJWJPZBJ2Q,2023-01-04 14:35:44.857,4,True,512
98291,5,A nice heads-up display,"I was not sure about this thing when we ordered it. In the box are the display with a long cord with plug ends on it, a tool to open a panel in the car, and some instructions.  It was nice that it came with the tool. Installing this thing was really easy. I even was able to install it while the car was still in the garage…not a lot of space to open the doors all the way. I needed a flashlight, and that was it. You open the panel on the back of the center console from the back seat. There is only one cable there with a connector.  You undo this connector and then connect the cable with the new display to it. The connectors only fit in one way, so you can’t mess this up. Then you just run the cable along the driver side to the front. You wedge it into the air vent centered behind the steering wheel. I was a little skeptical about this and thought it would come out, but it is a good fit. Nothing gets damaged…no screws or glue or double sided tape which is nice. Remember the cord comes out the RIGHT side of the display and goes behind it to the left. If you do not do this it will be upside down. After this is in and centered, tuck the cord in. I tucked it in around the side plastic trim and then under the floor mats in the back. You only see the cord in two spots. You see it right where it comes out of the air vent and goes over to the side panel for about 2 inches and then you see 1 inch of it right where it goes from the back of the driver’s seat to the center console near the base. Not too bad. I like how I did not have to take 1/2 the car apart to hide this cord. I also like that the display changes light intensity to match the light intensity of the normal display screen. This is nice for night and day driving, so you can see it but it is not blinding. It has turn signals, speed, seatbelt warning, and gear. When the car is stopped it will tell you battery percent. I am glad I got this thing.  I will say, the instructions it comes with are not really good. The pictures are so small you have no idea what you are looking at. Seriously, just look at the video on Amazon.  It is way more instructive than the instructions that are included. Aside from crummy instructions, this thing",[],B0BNJTG5R4,B0BNJTG5R4,AHKVIZZ7ILOTEGQ5TZ2NVNGOESBA,2023-02-26 14:41:47.457,0,False,512
260353,5,"Quality Optical Components, Bright & Clear Images,","If you've been looking for a quality monocular, this model is a great choice for the price.  It's rated at 10 x 42.  Objects viewed will appear 10 times closer.  The 42 refers to the size in millimeters of the large glass lens at the end of the scope.  The larger the outer lens is, the more light that can enter resulting in a brighter object being viewed.  I was impressed with this monocular's internal construction using high quality glass BAK4 prisms and FMC coatings.  These two features are typically found on higher-end optical devices and the end result is clearer and brighter images.<br /><br />But as this monocular is designed for outdoor use, the chamber is encased in a thick, rubberized coating which is rated at IPX7 waterproof.  An IPX7 rating means the device can physically survive a dunk in water 2-3' deep but not if immersed in flowing water or driving wind and rain conditions when force is involved.<br /><br />I like many design features such as the small supplied insert that screws into the 1/4-20 tripod socket beneath the scope.  A supplied wrist lanyard can be looped into this insert adding a little extra safety when handling the device.  A small tripod is also included and is good for desktop use especially when viewing objects near eye level.  If you're looking at birds overhead or stars at night, I recommend using a monopod or tripod to help steady the view.  Ten power is about the maximum you can hand-hold and external stabilization is always a big help.  The scope also comes with a phone holder allowing you to take photographs through the lens.  I've included a photo but due to cloudy skies at night, I haven't been able to take a picture of the moon yet. Comes with handy small tripod, carrying pouch, wrist lanyard, durable lens covers.  Easy to focus with large knurled knob.<br /><br />Bottom Line: Monoculars by design are a cross between a spotting scope, binocular and telescope.  This one juggles the constraints of each one and in the end, is versatile, durable and optically accurate.  I think it works best in combination with a monopod for birding and general observation.  For star gazing or when using it as a spotting scope, you'll want a tripod.  Rugged design and waterproof makes it good for camping or the beach.","[{'small_image_url': 'https://m.media-amazon.com/images/I/61F-xqK44LL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61F-xqK44LL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61F-xqK44LL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61VeEpWb7wL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61VeEpWb7wL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61VeEpWb7wL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/61XwGv58k7L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61XwGv58k7L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/61XwGv58k7L._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71DKYCFDBxL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71DKYCFDBxL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71DKYCFDBxL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71dr6WFsJRL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71dr6WFsJRL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71dr6WFsJRL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/71kBZrqrmCL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71kBZrqrmCL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71kBZrqrmCL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B0BTNQLYJJ,B0BTNQLYJJ,AFN7TLKO5YF2DGRTUSGXQVCKS3FA,2023-02-19 05:43:59.979,0,False,512
680939,5,Wonderful Indoor Security Camera!,"Hey everyone! It's your favorite Amazon reviewer, Sean 'The Tester' Chao, back again with a new product! Today we're looking at blurams' Security Camera 2K.<br /><br />- Build: This product is very well-made.  The material used is hard, durable plastic.  The moving components, to include the swivel, does so seamlessly.  Our inspection did not identify any manufacturer defect with our test product, nor did we find any notable design flaw.  We assess that this product will last 3+ years if treated with proper care.<br />- Price: At the time of writing, this product is priced comparably to similar products on the market. The indoor security camera  niche is highly saturated, and we observed comparable products coming in at both lower and higher price points.  However, this product differentiates itself with an exceptional in-house app support, high resolution imagery, multiple practical features (e.g. two-way chatting, siren, motion detection), and 360 degree swivel. Additionally, blurams is an established brand, thereby commanding it a premium price when compared to many of its competitors.  For this reason, we consider this product to be a great value.<br />- Function: This product works as intended. We were able to use the blurams app to control the camera without any issue.  We do note that the initial pairing process does take a few attempts, particularly with the camera reading the QR code to sync into the account.  Beyond that initial sync process, though, we were very satisfied with the control and cloud recording for this device.  We'd like to note that the app alone makes this a worthwhile investment, as it is a very polished product, and becomes even more so as you add more blurams products to your home.<br />- Aesthetics: This product is compact and is unassuming when placed in the background.<br /><br />Bottom line: This is a great security camera.  It is compact, packed with features, and is priced competitively.  We therefore recommend this to anyone looking for this type of product.<br /><br />This product earns the 'Sean's Supreme Seal.'<br /><br />**Seals are rated on this scale**<br />Poor: No Seal<br />Average: 'Sean's Satisfactory Seal'<br />Good: ""Sean's Superior Seal'<br />Excellent: ""Sean's Supreme Seal'",[],B0B7J3ZQQ1,B0B7J3ZQQ1,AEUUTS44JD7LRSSA53ZDZINXYJWQ,2023-02-17 18:52:41.887,0,False,512
116651,3,Don't Be Mislead,"So, my project of putting all my audio and photo files on separate thumb drives so I could have them all in one location hit a snag -- I need a separate device for my videos too.  So I got another.  These 64 Gig drives have lots of room for a decent price. Just plug it into your phone or computer then drag and drop whatever files, photos, documents, videos, etc. onto it. Its an easy way to transport between computers or use it as a stand alone storage device.<br /><br />The USB Flash Drive 64GB is a high-quality, portable, and compact data storage device that can hold up to 64GB of data. It is compatible with a range of devices including Windows and Linux systems, and has universal compatibility with USB 1.1 and USB 2.2 ports. The drive features a durable and rugged ABS and metal housing body with a ring design, and the inside uses an imported smart chip to ensure excellent resistance against water, magnets, high temperatures, and X-rays. The compact size of the drive, at 1.9 x 0.5 x 0.4 inches, makes it easy to carry, and it comes with a loop that can be attached to a keychain or lanyard to prevent loss. The advert says the drive comes with a 100% satisfaction guarantee and a 12-month warranty.<br /><br />Today's smart TVs let you plug in to a USB port and run your home movies back to back, do a slide show or just listen to your favorite music. This drive feels heavy duty with a stainless steel look, an O ring for stringing more than one together or attaching it to your key ring.  And it plugs into my PC for transporting media back and forth.  For what I need, these are perfeck!<br /><br />UPDATE:<br /><br />WARNING!  PLEASE NOTE MY REVIEW IS FOR THE 64 G DRIVE, NOT THE 1 TB FLASH DRIVE!!<br /><br />So, when I wrote my original review, I was writing for the 64 G version from this company.  I have another just like it and it works fine.  Now I see my review appearing for the larger 1TB drive!  I have no knowledge of the 1 TB thumb drive other than its a bigger version of the one I have.  Whether it works or not, I have no idea.  CAVEAT EMPTOR!  Read before you buy!",[],B0BS6V5LQ3,B0BS6V5LQ3,AH7XO5OG2U65MCO55ENPOJJ2OSDQ,2023-02-05 17:03:51.736,41,False,512
376299,4,Nice earbuds - wish play time was just a bit longer,I’ve looked at enough earbuds these days to have developed what is for me a good set of criteria to judge them and only one of those criteria is how they sound.<br /><br />1) How they sound – of course this is important!<br />These earbuds sound pretty good! Mostly that’s because they have sufficient bass something that is not common with earbuds that do not also have an equalizer app. These are by no means super-audiophile level earbuds but they do not disappoint like so many inexpensive earbuds do. These get a thumbs up on sound.<br /><br />2) Playing time<br />These earbuds are rated to last 5 hours before needing to go back into the case and they do last that long. That’s a little too short for me because I use them to help me sleep using Apple iPhone Background sounds (which is fantastic!) and I will literally wake up to the sound of the earbuds telling me to charge them. But it’s not terrible – I just pop in the other earbud and it’s back to zzzzz-ing.<br /><br />3) The case<br />The case with these earbuds opens easily and with sufficient clearance to make getting the earbuds out of the case easy. This is important because I have earbuds where the top of the case does not get far enough out of the way so you can get the darn things out! These earbuds also rest high enough out of their charging position so that there is plenty to grab to get them out. USB-C connection to charge it – check! I like the case.<br /><br />4) Fit<br />For me the earbuds mostly fit well but one slipped out a couple of times even after trying different ear tips. A little annoying but everyone is different and considering how many really good (and expensive) earbuds turn up in Lost-And-Found’s this is not an issue specific to this product.<br /><br />5) Overall<br />For me 5 stars means it’s a great product and only the somewhat limited play time bumps this down a notch. This will probably not make a difference for most people who listen on and off during the day and can pop the ‘buds back in the case for a top-off. I can easily recommend these.,[],B0BRBXN4PK,B0BZ3J6XD6,AEEKMQV4NEMRGSKAXHUKWWD2QT6Q,2023-03-24 22:48:25.060,0,False,512
859808,4,"Great SSD, but not much has changed","I'll start by saying that in terms of being fast, it's fast. If you come from a mechanic hard drive, it's like going from a horse carriage to a Lamborghini. Even from a SATA SSD, you'll feel some gains. If you currently have an M.2 ssd, unless you're doing very specific transfer tasks, you're not going to 'feel' a difference. Windows boot will be similar, and game loading will still be limited to the game developers optimization for pc. I upgraded from a 980 Pro, and knew I wouldn't see a difference, but I need it another SSD anyways. The reason this gets four stars is because of the fact that these should all be coming with heatsinks nowadays. The fact that I couldn't even purchase the heat sink version because of the sold out is so annoying. I would have had no problem paying an extra 10 or $20 for a heat sink but Samsung should have just made them all with heatsinks by default and show that they are truly a premium brand when it comes to solid state drives. So as you'd expect, it gets toasty and I see no difference in heat compared to the 980 pro, so Samsung gimmicky cooling solution nonsense on their website is just that, nonsense. The heatsink is what will make a difference, not their 'utting-edge thermal control algorithm technology'. As far as advertised speeds go, I typically get anywhere from 6500 to 6800 read and 5500 to 6500 write. That's typical as it's very rare that you'll get your SSD to push its top limits, and you're never going to feel a speed difference that small. Random read and random write speeds for benchmarking are all over the place, and these are the important speeds, but they fluctuates depending on heat and 8 million other factors going from bios settings to whatever windows is doing at any given time. All in all, it is the fastest SSD on the market and you can't go wrong, but if you're looking for a speed boost you're not going to see one coming from an M.2 drive. I would however consider upgrading from a pci 3.0 drive if you've made the switch to a pci 4.0 motherboard.  If you're able to get the heat sink version definitely 100% get it. Because of this card it's ridiculously hot. Not hot to wear it will get damaged, but hot enough to slow down speeds. Then again, it's still fast and it's Inferno conditions.",[],B0BHJF2VRN,B0C6N3GWW6,AFV2VENASG67HBBHI23QZTYATAHA,2023-03-25 11:26:12.479,18,True,512
329985,5,"If this outlet strip does what the Manufacturer say it will, it is definitely a 5 star product!!","Wowzers, If you read the details of this this power strip about the only thing more invulnerable than this power strip is Superman!!  It is rated for 1382 Degrees F!!  But before you decide that this is the power strip you've always wanted to mount inside your Propane Grill, it turns out the cord to the box will only handle 60'C (140 degrees F)  Boooo.  But it can handle a lot of water!  It can “withstand rain, water splash, and even water flow”and still continue working!  Also, it claims that  it is “Shockproof.”  You can jab it with knifes and tweezers.  I certainly wouldn't recommend doing that.  The video It pretty much shows water everywhere,  and someone touching the power strip in a manner I would not recommend. and for the life of me, I can't find this “drain” that is supposed to carry the water away from the power strip to prevent it from becoming totally submerged.  It might be at the level of the hanging hooks in which case all three lower level outlets would be underwater first.  The bottom row of 3 outlets appear to be the first possible drainage point.<br /><br />The following is taken directly from the Amazon site:<br />Safety design for preventing mis-plugging A:The power strip will only be energized when a standard electrical plug is inserted. Inserting other items (such as tweezers, etc.) will not be energized, Ensuring maximum safety.Only standard US plugs are compatible with the specialized design of the sockets, which is patented by USPTO. The sockets with a safety lock can't be opened with a force below 75N without the presence of both prongs of a standard US plug. This means that objects outside such as forks, keys and children's fingers can't result in electrocution through these outlets.<br /><br />I would encourage you to watch the video at the site below.  It is located to the left of the picture of the device.<br />https://www.amazon.com/Waterproof-Protector-Extension-mountable-Bathroom/dp/B0BC34VRZL?ref_=ast_slp_dp<br /><br />I have tested the power strip and it does work.  I have not done what the person in the video did!",[],B0BRFRMPDD,B0BXKH5J7F,AFVHZ4UOUF4KDOSYWZONYDQAFXFQ,2023-02-24 18:54:47.491,0,False,512
751586,5,Does a Good Job!,"I recently used this kit on two different builds, one that was 6 years old and a new one.  It did a great job.<br /><br />Old Build:<br />The cleaner turned a dark blue/green color and was non-transparent after the 8 hours it ran through the loop.  Once it was rinsed and the Superflush run through for 24 hours, the PETG tubing and acrylic reservoir shined like new.  Both had become a little cloudy over the years but now they're clear.<br /><br />New Build:<br />Following the same process produced the same results.  The cleaner again, turned blue/green but this time was still transparent.  The GPU water-block top is clear acrylic, and even though it's a new block, I can see that the nickel channels are noticeably brighter.  All of the acrylic tubing and nickel parts gleam now.<br /><br />The instructions aren't on the bottles, so you'll want to download the manuals from EK.  In them it calls for a 15-minute rinse of the cleaner using the Superflush but to continue rinsing until all of the foam is gone then refill with Superflush and run for 24 hours.  That said, the cleaner foams a lot once you start flushing, so in my case it took several refill/rinse cycles and there wasn't enough Superflush mixture to use it for all of the rinse cycles.  So, I rinsed each loop for 15 minutes x2 with Superflush and for the remainder of the rinse cycles I used distilled water.  Once the foam was completely gone, I refilled with Superflush and let them run for 24 hours.<br /><br />One thing that happed in the new loop that didn't with the old one, flux washed out of one of the radiators and the sticky residue collected on the GPU water-block.  OCD got the best of me and I didn't trust that the Superflush would remove it, so once the rinse cycles were complete, I opened the GPU block and cleaned off the flux, but now I think the Superflush would have removed it.  The instructions state you might manually flush the radiators with the cleaner before they're installed but mine were already installed so it wasn't an option.<br /><br />After the cleaning, I refilled both loops with Cryofuel Clear and am very happy with the results.  Hope this helps!",[],B0BGCBDSCF,B0BGCBDSCF,AFCIKDOY5R5VUPEJWABYXT2G4OQA,2023-03-02 05:22:31.221,6,False,512
